Groupe de la nomenclature INCA 2,Libellé,Type,Date,Région,Vague,Unité,Famille de substances,Substance,Contamination rapportée,LB,UB,MB
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2007,1,1,µg/kg,Acrylamide,Acrylamide,881.7,881.7,881.7,881.7
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2007,7,1,µg/kg,Acrylamide,Acrylamide,1247.2,1247.2,1247.2,1247.2
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2007,34,1,µg/kg,Acrylamide,Acrylamide,643.5,643.5,643.5,643.5
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2008,1,2,µg/kg,Acrylamide,Acrylamide,502.7,502.7,502.7,502.7
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2008,2,1,µg/kg,Acrylamide,Acrylamide,819.2,819.2,819.2,819.2
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2008,2,2,µg/kg,Acrylamide,Acrylamide,583.4,583.4,583.4,583.4
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2008,5,1,µg/kg,Acrylamide,Acrylamide,766.6,766.6,766.6,766.6
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2008,6,1,µg/kg,Acrylamide,Acrylamide,1286.8,1286.8,1286.8,1286.8
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2008,7,2,µg/kg,Acrylamide,Acrylamide,1063.8,1063.8,1063.8,1063.8
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2008,8,1,µg/kg,Acrylamide,Acrylamide,921,921,921,921
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2008,8,2,µg/kg,Acrylamide,Acrylamide,1042.6,1042.6,1042.6,1042.6
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2008,9,1,µg/kg,Acrylamide,Acrylamide,1166,1166,1166,1166
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2008,9,2,µg/kg,Acrylamide,Acrylamide,1109.2,1109.2,1109.2,1109.2
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2008,34,2,µg/kg,Acrylamide,Acrylamide,1229.1,1229.1,1229.1,1229.1
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2009,5,2,µg/kg,Acrylamide,Acrylamide,1025.6,1025.6,1025.6,1025.6
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2009,6,2,µg/kg,Acrylamide,Acrylamide,983,983,983,983
Pain et panification sèche,pain grillé,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,36.8,36.8,36.8,36.8
Pain et panification sèche,pain grillé,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,34.1,34.1,34.1,34.1
Pain et panification sèche,pain complet ou intégral,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,28.3,28.3,28.3,28.3
Pain et panification sèche,pain complet ou intégral,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,48.3,48.3,48.3,48.3
Pain et panification sèche,pain de mie,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,20.3,20.3,20.3,20.3
Pain et panification sèche,pain de mie,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,23.6,23.6,23.6,23.6
Pain et panification sèche,pain aux céréales,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,57.1,57.1,57.1,57.1
Pain et panification sèche,pain aux céréales,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,32.3,32.3,32.3,32.3
