Groupe de la nomenclature INCA 2,Libellé,Type,Date,Région,Vague,Unité,Famille de substances,Substance,Contamination rapportée,LB,UB,MB
Boissons fraîches sans alcool,jus d'ananas à base de concentré,N,2007,99,1,mg/l,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Boissons fraîches sans alcool,jus de fruits multivitamines 100% pur jus,N,2007,99,1,mg/l,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Boissons fraîches sans alcool,jus d'orange à base de concentré pasteurisé,N,2007,99,1,mg/l,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Boissons fraîches sans alcool,jus d'orange frais non sucré,N,2007,99,1,mg/l,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Boissons fraîches sans alcool,jus de pomme à base de concentré pasteurisé,N,2007,99,1,mg/l,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2007,1,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",NQ (5),0,5.0,2.5
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2007,7,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2007,34,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2008,1,2,mg/kg ,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2008,2,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",NQ (5),0,5.0,2.5
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2008,2,2,mg/kg ,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2008,5,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2008,6,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2008,7,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2008,8,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2008,8,2,mg/kg ,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2008,9,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2008,9,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2008,34,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2009,5,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2009,6,2,mg/kg ,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Boissons alcoolisées,champagne,N,2007,99,1,mg/l,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",58,58,58,58
Boissons alcoolisées,champagne,N,2008,99,2,mg/l,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",48,48,48,48
Charcuterie,foie gras,R,2007,34,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
Charcuterie,foie gras,R,2008,34,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
Crustacés et mollusques,crevette,R,2007,1,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",84.1,84.1,84.1,84.1
Crustacés et mollusques,crevette,R,2007,7,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",53.9,53.9,53.9,53.9
Crustacés et mollusques,crevette,R,2007,34,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",47.2,47.2,47.2,47.2
Crustacés et mollusques,crevette,R,2008,1,2,mg/kg ,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (3),0,3.0,1.5
Crustacés et mollusques,crevette,R,2008,2,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",32.9,32.9,32.9,32.9
Crustacés et mollusques,crevette,R,2008,2,2,mg/kg ,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",15.8,15.8,15.8,15.8
Crustacés et mollusques,crevette,R,2008,5,1,mg/kg ,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",47.5,47.5,47.5,47.5
Crustacés et mollusques,crevette,R,2008,6,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",75.6,75.6,75.6,75.6
Crustacés et mollusques,crevette,R,2008,7,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",10.8,10.8,10.8,10.8
Crustacés et mollusques,crevette,R,2008,8,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",81.3,81.3,81.3,81.3
Crustacés et mollusques,crevette,R,2008,8,2,mg/kg ,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",54.6,54.6,54.6,54.6
Crustacés et mollusques,crevette,R,2008,9,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",91.3,91.3,91.3,91.3
Crustacés et mollusques,crevette,R,2008,9,2,mg/kg ,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",72,72,72,72
