Groupe de la nomenclature INCA 2,Libellé,Type,Date,Région,Vague,Unité,Famille de substances,Substance,Contamination rapportée,LB,UB,MB
Charcuterie,foie gras,R,2007,34,1,ng/g,Bromés,HBCD alpha,0.4213,0.4213,0.4213,0.4213
Charcuterie,foie gras,R,2008,34,2,ng/g,Bromés,HBCD alpha,0.1921,0.1921,0.1921,0.1921
Crustacés et mollusques,coquille st jacques,R,2008,2,1,ng/g,Bromés,HBCD alpha,0.0328,0.0328,0.0328,0.0328
Crustacés et mollusques,coquille st jacques,R,2007,34,1,ng/g,Bromés,HBCD alpha,0.0587,0.0587,0.0587,0.0587
Crustacés et mollusques,coquille st jacques,R,2009,5,2,ng/g,Bromés,HBCD alpha,0.0979,0.0979,0.0979,0.0979
Crustacés et mollusques,coquille st jacques,R,2008,2,2,ng/g,Bromés,HBCD alpha,0.0279,0.0279,0.0279,0.0279
Crustacés et mollusques,coquille st jacques,R,2008,34,2,ng/g,Bromés,HBCD alpha,0.0405,0.0405,0.0405,0.0405
Crustacés et mollusques,crevette,R,2007,1,1,ng/g,Bromés,HBCD alpha,0.0006,0.0006,0.0006,0.0006
Crustacés et mollusques,crevette,R,2007,7,1,ng/g,Bromés,HBCD alpha,0.0032,0.0032,0.0032,0.0032
Crustacés et mollusques,crevette,R,2007,34,1,ng/g,Bromés,HBCD alpha,0.0001,0.0001,0.0001,0.0001
Crustacés et mollusques,crevette,R,2008,2,1,ng/g,Bromés,HBCD alpha,"< 0,0023",0,0.0023,0.00115
Crustacés et mollusques,crevette,R,2008,8,1,ng/g,Bromés,HBCD alpha,0.0056,0.0056,0.0056,0.0056
Crustacés et mollusques,crevette,R,2009,5,2,ng/g,Bromés,HBCD alpha,0.0014,0.0014,0.0014,0.0014
Crustacés et mollusques,crevette,R,2009,6,2,ng/g,Bromés,HBCD alpha,"< 0,0035",0,0.0035,0.00175
Crustacés et mollusques,crevette,R,2008,2,2,ng/g,Bromés,HBCD alpha,0.0017,0.0017,0.0017,0.0017
Crustacés et mollusques,crevette,R,2008,9,1,ng/g,Bromés,HBCD alpha,"< 0,009",0,0.009,0.0045
Crustacés et mollusques,crevette,R,2008,9,2,ng/g,Bromés,HBCD alpha,"< 0,011",0,0.011,0.0055
Crustacés et mollusques,crevette,R,2008,6,1,ng/g,Bromés,HBCD alpha,0.0027,0.0027,0.0027,0.0027
Crustacés et mollusques,crevette,R,2008,34,2,ng/g,Bromés,HBCD alpha,0.0248,0.0248,0.0248,0.0248
Crustacés et mollusques,crevette,R,2008,1,2,ng/g,Bromés,HBCD alpha,0.3817,0.3817,0.3817,0.3817
Crustacés et mollusques,crevette,R,2008,5,1,ng/g,Bromés,HBCD alpha,0.0009,0.0009,0.0009,0.0009
Crustacés et mollusques,crevette,R,2008,7,2,ng/g,Bromés,HBCD alpha,0.0178,0.0178,0.0178,0.0178
Crustacés et mollusques,crevette,R,2008,8,2,ng/g,Bromés,HBCD alpha,"< 0,005",0,0.005,0.0025
Crustacés et mollusques,huître,R,2008,2,1,ng/g,Bromés,HBCD alpha,0.1138,0.1138,0.1138,0.1138
Crustacés et mollusques,huître,R,2008,8,1,ng/g,Bromés,HBCD alpha,0.1037,0.1037,0.1037,0.1037
Crustacés et mollusques,huître,R,2008,9,2,ng/g,Bromés,HBCD alpha,0.0282,0.0282,0.0282,0.0282
Crustacés et mollusques,huître,R,2008,8,2,ng/g,Bromés,HBCD alpha,0.0310,0.0310,0.0310,0.0310
Crustacés et mollusques,huître,R,2009,6,2,ng/g,Bromés,HBCD alpha,0.0551,0.0551,0.0551,0.0551
Crustacés et mollusques,huître,R,2009,5,2,ng/g,Bromés,HBCD alpha,0.0308,0.0308,0.0308,0.0308
Crustacés et mollusques,moule,R,2007,7,1,ng/g,Bromés,HBCD alpha,0.1023,0.1023,0.1023,0.1023
Crustacés et mollusques,moule,R,2007,34,1,ng/g,Bromés,HBCD alpha,0.0537,0.0537,0.0537,0.0537
Crustacés et mollusques,moule,R,2007,1,1,ng/g,Bromés,HBCD alpha,0.0707,0.0707,0.0707,0.0707
Crustacés et mollusques,moule,R,2008,9,1,ng/g,Bromés,HBCD alpha,0.0188,0.0188,0.0188,0.0188
Crustacés et mollusques,moule,R,2008,9,2,ng/g,Bromés,HBCD alpha,0.0827,0.0827,0.0827,0.0827
Crustacés et mollusques,moule,R,2009,5,2,ng/g,Bromés,HBCD alpha,1.4586,1.4586,1.4586,1.4586
Crustacés et mollusques,moule,R,2008,7,2,ng/g,Bromés,HBCD alpha,0.1584,0.1584,0.1584,0.1584
Crustacés et mollusques,moule,R,2008,34,2,ng/g,Bromés,HBCD alpha,1.0504,1.0504,1.0504,1.0504
Crustacés et mollusques,moule,R,2008,1,2,ng/g,Bromés,HBCD alpha,0.0737,0.0737,0.0737,0.0737
Crustacés et mollusques,moule,R,2008,5,1,ng/g,Bromés,HBCD alpha,0.0412,0.0412,0.0412,0.0412
Condiments et sauces,mayonnaise,N,2007,99,1,ng/g,Bromés,HBCD alpha,0.0023,0.0023,0.0023,0.0023
Condiments et sauces,sauce tomate à la viande,N,2007,99,1,ng/g,Bromés,HBCD alpha,0.0070,0.0070,0.0070,0.0070
Condiments et sauces,sauce tomate à la viande,N,2008,99,2,ng/g,Bromés,HBCD alpha,0.0026,0.0026,0.0026,0.0026
Fromages,roquefort,N,2007,99,1,ng/g,Bromés,HBCD alpha,0.0177,0.0177,0.0177,0.0177
Fromages,roquefort,N,2008,99,2,ng/g,Bromés,HBCD alpha,0.0057,0.0057,0.0057,0.0057
Fromages,fromage à pâte ferme enrobé de cire,N,2007,99,1,ng/g,Bromés,HBCD alpha,0.0040,0.0040,0.0040,0.0040
Fromages,fromage à pâte ferme enrobé de cire,N,2008,99,2,ng/g,Bromés,HBCD alpha,"< 0,008",0,0.008,0.004
