Groupe de la nomenclature INCA 2,Libellé,Type,Date,Région,Vague,Unité,Famille de substances,Substance,Contamination rapportée,LB,UB,MB
Charcuterie,foie gras,R,2007,34,1,pg/g PF,Dioxines PCB,Lipides (%),46.79,0,,
Charcuterie,foie gras,R,2008,34,2,pg/g PF,Dioxines PCB,Lipides (%),47.65,0,,
Crustacés et mollusques,coquille st jacques,R,2007,34,1,pg/g PF,Dioxines PCB,Lipides (%),3.16,0,,
Crustacés et mollusques,coquille st jacques,R,2008,2,1,pg/g PF,Dioxines PCB,Lipides (%),2.2,0,,
Crustacés et mollusques,coquille st jacques,R,2008,2,2,pg/g PF,Dioxines PCB,Lipides (%),1.7,0,,
Crustacés et mollusques,coquille st jacques,R,2008,34,2,pg/g PF,Dioxines PCB,Lipides (%),2.69,0,,
Crustacés et mollusques,coquille st jacques,R,2009,5,2,pg/g PF,Dioxines PCB,Lipides (%),2.19,0,,
Crustacés et mollusques,crevette,R,2007,1,1,pg/g PF,Dioxines PCB,Lipides (%),1.3,0,,
Crustacés et mollusques,crevette,R,2007,7,1,pg/g PF,Dioxines PCB,Lipides (%),1.15,0,,
Crustacés et mollusques,crevette,R,2007,34,1,pg/g PF,Dioxines PCB,Lipides (%),1.45,0,,
Crustacés et mollusques,crevette,R,2008,1,2,pg/g PF,Dioxines PCB,Lipides (%),15.33,0,,
Crustacés et mollusques,crevette,R,2008,2,1,pg/g PF,Dioxines PCB,Lipides (%),1.76,0,,
Crustacés et mollusques,crevette,R,2008,2,2,pg/g PF,Dioxines PCB,Lipides (%),1.77,0,,
Crustacés et mollusques,crevette,R,2008,5,1,pg/g PF,Dioxines PCB,Lipides (%),1.84,0,,
Crustacés et mollusques,crevette,R,2008,6,1,pg/g PF,Dioxines PCB,Lipides (%),1.64,0,,
Crustacés et mollusques,crevette,R,2008,7,2,pg/g PF,Dioxines PCB,Lipides (%),1.51,0,,
Crustacés et mollusques,crevette,R,2008,8,1,pg/g PF,Dioxines PCB,Lipides (%),1.62,0,,
Crustacés et mollusques,crevette,R,2008,8,2,pg/g PF,Dioxines PCB,Lipides (%),1.16,0,,
Crustacés et mollusques,crevette,R,2008,9,1,pg/g PF,Dioxines PCB,Lipides (%),1.87,0,,
Crustacés et mollusques,crevette,R,2008,9,2,pg/g PF,Dioxines PCB,Lipides (%),1.44,0,,
Crustacés et mollusques,crevette,R,2008,34,2,pg/g PF,Dioxines PCB,Lipides (%),1.59,0,,
Crustacés et mollusques,crevette,R,2009,5,2,pg/g PF,Dioxines PCB,Lipides (%),1.6,0,,
Crustacés et mollusques,crevette,R,2009,6,2,pg/g PF,Dioxines PCB,Lipides (%),1.62,0,,
Crustacés et mollusques,huître,R,2008,2,1,pg/g PF,Dioxines PCB,Lipides (%),0.8,0,,
Crustacés et mollusques,huître,R,2008,8,1,pg/g PF,Dioxines PCB,Lipides (%),1.72,0,,
Crustacés et mollusques,huître,R,2008,8,2,pg/g PF,Dioxines PCB,Lipides (%),0.96,0,,
Crustacés et mollusques,huître,R,2008,9,2,pg/g PF,Dioxines PCB,Lipides (%),0.96,0,,
Crustacés et mollusques,huître,R,2009,5,2,pg/g PF,Dioxines PCB,Lipides (%),1.29,0,,
