Groupe de la nomenclature INCA 2,Libellé,Type,Date,Région,Vague,Unité,Famille de substances,Substance,Contamination rapportée,LB,UB,MB
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2008,5,1,µg/kg PF,HAP,PHE,0.207,0.207,0.207,0.207
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2009,5,2,µg/kg PF,HAP,PHE,"< 2,323",0,2.323,1.1615
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2008,2,2,µg/kg PF,HAP,PHE,1.019,1.019,1.019,1.019
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2008,1,2,µg/kg PF,HAP,PHE,0.284,0.284,0.284,0.284
Pommes de terre et apparentés,purée de pommes de terre,R,2008,2,2,µg/kg PF,HAP,PHE,0.185,0.185,0.185,0.185
Pommes de terre et apparentés,purée de pommes de terre,R,2008,1,2,µg/kg PF,HAP,PHE,1.957,1.957,1.957,1.957
Pain et panification sèche,pain grillé,N,2008,99,2,µg/kg PF,HAP,PHE,0.167,0.167,0.167,0.167
Pain et panification sèche,pain complet ou intégral,N,2008,99,2,µg/kg PF,HAP,PHE,0.303,0.303,0.303,0.303
Pain et panification sèche,pain de mie,N,2008,99,2,µg/kg PF,HAP,PHE,0.460,0.460,0.460,0.460
Pain et panification sèche,pain aux céréales,N,2008,99,2,µg/kg PF,HAP,PHE,0.580,0.580,0.580,0.580
Viennoiserie,pain au chocolat,N,2008,99,2,µg/kg PF,HAP,PHE,0.654,0.654,0.654,0.654
Charcuterie,foie gras,R,2007,34,1,µg/kg PF,HAP,PHE,0.261,0.261,0.261,0.261
Charcuterie,foie gras,R,2008,34,2,µg/kg PF,HAP,PHE,0.378,0.378,0.378,0.378
Crustacés et mollusques,coquille st jacques,R,2008,2,1,µg/kg PF,HAP,PHE,4.488,4.488,4.488,4.488
Crustacés et mollusques,coquille st jacques,R,2007,34,1,µg/kg PF,HAP,PHE,3.466,3.466,3.466,3.466
Crustacés et mollusques,coquille st jacques,R,2009,5,2,µg/kg PF,HAP,PHE,"< 0,171",0,0.171,0.0855
Crustacés et mollusques,coquille st jacques,R,2008,2,2,µg/kg PF,HAP,PHE,"< 1,01",0,1.01,0.505
Crustacés et mollusques,coquille st jacques,R,2008,34,2,µg/kg PF,HAP,PHE,2.230,2.230,2.230,2.230
Crustacés et mollusques,crevette,R,2007,1,1,µg/kg PF,HAP,PHE,3.899,3.899,3.899,3.899
Crustacés et mollusques,crevette,R,2007,7,1,µg/kg PF,HAP,PHE,4.225,4.225,4.225,4.225
Crustacés et mollusques,crevette,R,2007,34,1,µg/kg PF,HAP,PHE,2.529,2.529,2.529,2.529
Crustacés et mollusques,crevette,R,2008,2,1,µg/kg PF,HAP,PHE,1.232,1.232,1.232,1.232
Crustacés et mollusques,crevette,R,2008,8,1,µg/kg PF,HAP,PHE,"< 0,978",0,0.978,0.489
Crustacés et mollusques,crevette,R,2009,5,2,µg/kg PF,HAP,PHE,"< 0,349",0,0.349,0.1745
Crustacés et mollusques,crevette,R,2009,6,2,µg/kg PF,HAP,PHE,"< 0,07",0,0.07,0.035
Crustacés et mollusques,crevette,R,2008,2,2,µg/kg PF,HAP,PHE,"< 1,024",0,1.024,0.512
Crustacés et mollusques,crevette,R,2008,9,1,µg/kg PF,HAP,PHE,0.350,0.350,0.350,0.350
Crustacés et mollusques,crevette,R,2008,9,2,µg/kg PF,HAP,PHE,0.264,0.264,0.264,0.264
Crustacés et mollusques,crevette,R,2008,6,1,µg/kg PF,HAP,PHE,,,,
Crustacés et mollusques,crevette,R,2008,34,2,µg/kg PF,HAP,PHE,0.664,0.664,0.664,0.664
Crustacés et mollusques,crevette,R,2008,1,2,µg/kg PF,HAP,PHE,1.412,1.412,1.412,1.412
