Groupe de la nomenclature INCA 2,Libellé,Type,Date,Région,Vague,Unité,Famille de substances,Substance,Contamination rapportée,LB,UB,MB
Pain et panification sèche,pain grillé,N,2008,99,2,ng/g,Perfluorés,PFOS,"<0,085",0,0.085,0.0425
Pain et panification sèche,pain complet ou intégral,N,2008,99,2,ng/g,Perfluorés,PFOS,"<0,137",0,0.137,0.0685
Pain et panification sèche,pain de mie,N,2008,99,2,ng/g,Perfluorés,PFOS,"<0,065",0,0.065,0.0325
Pain et panification sèche,pain aux céréales,N,2008,99,2,ng/g,Perfluorés,PFOS,"<0,068",0,0.068,0.034
Viennoiserie,pain au chocolat,N,2008,99,2,ng/g,Perfluorés,PFOS,"<0,079",0,0.079,0.0395
Charcuterie,foie gras,R,2007,34,1,ng/g,Perfluorés,PFOS,"<0,146",0,0.146,0.073
Charcuterie,foie gras,R,2008,34,2,ng/g,Perfluorés,PFOS,"<0,113",0,0.113,0.0565
Crustacés et mollusques,coquille st jacques,R,2008,2,1,ng/g,Perfluorés,PFOS,0.075,0.075,0.075,0.075
Crustacés et mollusques,coquille st jacques,R,2007,34,1,ng/g,Perfluorés,PFOS,"<0,011",0,0.011,0.0055
Crustacés et mollusques,coquille st jacques,R,2009,5,2,ng/g,Perfluorés,PFOS,"<0,016",0,0.016,0.008
Crustacés et mollusques,coquille st jacques,R,2008,2,2,ng/g,Perfluorés,PFOS,"<0,015",0,0.015,0.0075
Crustacés et mollusques,coquille st jacques,R,2008,34,2,ng/g,Perfluorés,PFOS,"<0,015",0,0.015,0.0075
Crustacés et mollusques,crevette,R,2007,1,1,ng/g,Perfluorés,PFOS,0.898,0.898,0.898,0.898
Crustacés et mollusques,crevette,R,2007,7,1,ng/g,Perfluorés,PFOS,0.127,0.127,0.127,0.127
Crustacés et mollusques,crevette,R,2007,34,1,ng/g,Perfluorés,PFOS,0.931,0.931,0.931,0.931
Crustacés et mollusques,crevette,R,2008,2,1,ng/g,Perfluorés,PFOS,0.607,0.607,0.607,0.607
Crustacés et mollusques,crevette,R,2008,8,1,ng/g,Perfluorés,PFOS,0.378,0.378,0.378,0.378
Crustacés et mollusques,crevette,R,2009,5,2,ng/g,Perfluorés,PFOS,1.007,1.007,1.007,1.007
Crustacés et mollusques,crevette,R,2009,6,2,ng/g,Perfluorés,PFOS,"<0,029",0,0.029,0.0145
Crustacés et mollusques,crevette,R,2008,2,2,ng/g,Perfluorés,PFOS,0.816,0.816,0.816,0.816
Crustacés et mollusques,crevette,R,2008,9,1,ng/g,Perfluorés,PFOS,0.869,0.869,0.869,0.869
Crustacés et mollusques,crevette,R,2008,9,2,ng/g,Perfluorés,PFOS,2.309,2.309,2.309,2.309
Crustacés et mollusques,crevette,R,2008,6,1,ng/g,Perfluorés,PFOS,"<0,027",0,0.027,0.0135
Crustacés et mollusques,crevette,R,2008,34,2,ng/g,Perfluorés,PFOS,0.991,0.991,0.991,0.991
Crustacés et mollusques,crevette,R,2008,1,2,ng/g,Perfluorés,PFOS,"<0,04",0,0.04,0.02
Crustacés et mollusques,crevette,R,2008,5,1,ng/g,Perfluorés,PFOS,0.618,0.618,0.618,0.618
Crustacés et mollusques,crevette,R,2008,7,2,ng/g,Perfluorés,PFOS,"<0,029",0,0.029,0.0145
Crustacés et mollusques,crevette,R,2008,8,2,ng/g,Perfluorés,PFOS,0.223,0.223,0.223,0.223
Crustacés et mollusques,huître,R,2008,2,1,ng/g,Perfluorés,PFOS,"<0,021",0,0.021,0.0105
Crustacés et mollusques,huître,R,2008,8,1,ng/g,Perfluorés,PFOS,0.027,0.027,0.027,0.027
Crustacés et mollusques,huître,R,2008,9,2,ng/g,Perfluorés,PFOS,"<0,015",0,0.015,0.0075
Crustacés et mollusques,huître,R,2008,8,2,ng/g,Perfluorés,PFOS,0.018,0.018,0.018,0.018
Crustacés et mollusques,huître,R,2009,6,2,ng/g,Perfluorés,PFOS,"<0,015",0,0.015,0.0075
Crustacés et mollusques,huître,R,2009,5,2,ng/g,Perfluorés,PFOS,"<0,029",0,0.029,0.0145
Crustacés et mollusques,moule,R,2007,7,1,ng/g,Perfluorés,PFOS,0.042,0.042,0.042,0.042
Crustacés et mollusques,moule,R,2007,34,1,ng/g,Perfluorés,PFOS,0.093,0.093,0.093,0.093
Crustacés et mollusques,moule,R,2007,1,1,ng/g,Perfluorés,PFOS,0.062,0.062,0.062,0.062
Crustacés et mollusques,moule,R,2008,9,1,ng/g,Perfluorés,PFOS,0.167,0.167,0.167,0.167
Crustacés et mollusques,moule,R,2008,9,2,ng/g,Perfluorés,PFOS,0.083,0.083,0.083,0.083
Crustacés et mollusques,moule,R,2009,5,2,ng/g,Perfluorés,PFOS,0.098,0.098,0.098,0.098
Crustacés et mollusques,moule,R,2008,7,2,ng/g,Perfluorés,PFOS,0.069,0.069,0.069,0.069
Crustacés et mollusques,moule,R,2008,34,2,ng/g,Perfluorés,PFOS,0.161,0.161,0.161,0.161
Crustacés et mollusques,moule,R,2008,1,2,ng/g,Perfluorés,PFOS,0.113,0.113,0.113,0.113
Crustacés et mollusques,moule,R,2008,5,1,ng/g,Perfluorés,PFOS,0.039,0.039,0.039,0.039
Condiments et sauces,mayonnaise,N,2007,99,1,ng/g,Perfluorés,PFOS,"<0,287",0,0.287,0.1435
Condiments et sauces,sauce tomate à la viande,N,2007,99,1,ng/g,Perfluorés,PFOS,"<0,024",0,0.024,0.012
Condiments et sauces,sauce tomate à la viande,N,2008,99,2,ng/g,Perfluorés,PFOS,"<0,014",0,0.014,0.007
Fromages,roquefort,N,2007,99,1,ng/g,Perfluorés,PFOS,"<0,062",0,0.062,0.031
Fromages,roquefort,N,2008,99,2,ng/g,Perfluorés,PFOS,"<0,107",0,0.107,0.0535
Fromages,fromage à pâte ferme enrobé de cire,N,2007,99,1,ng/g,Perfluorés,PFOS,"<0,051",0,0.051,0.0255
Fromages,fromage à pâte ferme enrobé de cire,N,2008,99,2,ng/g,Perfluorés,PFOS,"<0,077",0,0.077,0.0385
Eaux,eau de source,R,2009,5,2,ng/g,Perfluorés,PFOS,"<0,0006",0,0.0006,0.0003
Eaux,eau de source,R,2008,5,1,ng/g,Perfluorés,PFOS,"<0,0006",0,0.0006,0.0003
Eaux,eau de source,R,2008,1,2,ng/g,Perfluorés,PFOS,"<0,004",0,0.004,0.002
Eaux,eau du robinet,R,2009,5,2,ng/g,Perfluorés,PFOS,0.003,0.003,0.003,0.003
Eaux,eau du robinet,R,2008,5,1,ng/g,Perfluorés,PFOS,0.001,0.001,0.001,0.001
Eaux,eau du robinet,R,2008,1,2,ng/g,Perfluorés,PFOS,"<0,002",0,0.002,0.001
Légumes (hors pomme de terre),concombre,R,2007,1,1,ng/g,Perfluorés,PFOS,"<0,001",0,0.001,0.0005
Légumes (hors pomme de terre),concombre,R,2008,1,2,ng/g,Perfluorés,PFOS,"<0,006",0,0.006,0.003
Légumes (hors pomme de terre),radis,R,2007,1,1,ng/g,Perfluorés,PFOS,"<0,002",0,0.002,0.001
Légumes (hors pomme de terre),radis,R,2008,1,2,ng/g,Perfluorés,PFOS,"<0,006",0,0.006,0.003
Oeufs et dérivés,oeuf dur,R,2008,2,1,ng/g,Perfluorés,PFOS,"<0,014",0,0.014,0.007
Oeufs et dérivés,oeuf dur,R,2007,7,1,ng/g,Perfluorés,PFOS,"<0,029",0,0.029,0.0145
Oeufs et dérivés,oeuf dur,R,2007,34,1,ng/g,Perfluorés,PFOS,"<0,014",0,0.014,0.007
Oeufs et dérivés,oeuf dur,R,2007,1,1,ng/g,Perfluorés,PFOS,"<0,011",0,0.011,0.0055
Oeufs et dérivés,oeuf dur,R,2008,8,1,ng/g,Perfluorés,PFOS,"<0,056",0,0.056,0.028
Oeufs et dérivés,oeuf dur,R,2009,6,2,ng/g,Perfluorés,PFOS,"<0,014",0,0.014,0.007
Oeufs et dérivés,oeuf dur,R,2008,2,2,ng/g,Perfluorés,PFOS,"<0,015",0,0.015,0.0075
Oeufs et dérivés,oeuf dur,R,2008,9,1,ng/g,Perfluorés,PFOS,"<0,012",0,0.012,0.006
Oeufs et dérivés,oeuf dur,R,2008,9,2,ng/g,Perfluorés,PFOS,"<0,012",0,0.012,0.006
Oeufs et dérivés,oeuf dur,R,2008,7,2,ng/g,Perfluorés,PFOS,"<0,014",0,0.014,0.007
